新出房源，业主诚售，单价低，楼层好，视野开阔,信和花园 , 4室2厅 , 156.48平米 ,81人关注 , 共46次带看 , 30天以前发布,980,单价62628元/平米,https://sh.lianjia.com/ershoufang/107100334644.html,浦东,1
长源小区 2室1厅 360万,长源小区 , 2室1厅 , 48.8平米 ,153人关注 , 共12次带看 , 一年前发布,360,单价73771元/平米,https://sh.lianjia.com/ershoufang/107001265085.html,长宁,1
大华凤凰佳苑 6室3厅 430万,大华凤凰佳苑 , 6室3厅 , 162.19平米 ,8人关注 , 共0次带看 , 3个月以前发布,430,单价26513元/平米,https://sh.lianjia.com/ershoufang/107100088999.html,崇明,1
花桥国际华城 俩房一厅小复式  房东诚意出售  急急,花桥国际华城 , 2室1厅 , 43.6平米 ,696人关注 , 共4次带看 , 8个月以前发布,95,单价21789元/平米,https://sh.lianjia.com/ershoufang/107002215287.html,上海周边,1
徐家汇08年小区+电梯一房+送80平米露台+徐汇体育公园,电影华苑 , 1室2厅 , 63.24平米 ,77人关注 , 共27次带看 , 1个月以前发布,650,单价102784元/平米,https://sh.lianjia.com/ershoufang/107100325834.html,徐汇,1
景城二期带地下产权车位精装两房，满五唯一，有名e学,春申景城湖畔林语 , 2室2厅 , 91.03平米 ,46人关注 , 共30次带看 , 1个月以前发布,635,单价69758元/平米,https://sh.lianjia.com/ershoufang/107100325211.html,闵行,1
聚丰景都近双轨 精装拎包入住 带入室花园景观电梯,聚丰景都 , 2室2厅 , 92.92平米 ,134人关注 , 共25次带看 , 7个月以前发布,439,单价47245元/平米,https://sh.lianjia.com/ershoufang/107001380323.html,宝山,1
九城湖滨国际 3室2厅 515万,九城湖滨国际 , 3室2厅 , 105.95平米 ,100人关注 , 共29次带看 , 4个月以前发布,515,单价48608元/平米,https://sh.lianjia.com/ershoufang/107000325629.html,松江,1
新上房源，自住居家装修，小区位置佳，中高楼层,上院 , 3室2厅 , 119.2平米 ,14人关注 , 共9次带看 , 17天以前发布,372,单价31209元/平米,https://sh.lianjia.com/ershoufang/107100373491.html,奉贤,1
地铁3.4号沿线 高区楼层 视野好 全明结构 卧室双南,中远两湾城 , 2室2厅 , 111.63平米 ,505人关注 , 共45次带看 , 9个月以前发布,720,单价64499元/平米,https://sh.lianjia.com/ershoufang/107002182521.html,普陀,1
满五唯一税费少，采光好，停车易，拎包入住，全明户型,中浩云花园 , 2室2厅 , 93.96平米 ,32人关注 , 共28次带看 , 1个月以前发布,670,单价71307元/平米,https://sh.lianjia.com/ershoufang/107100294743.html,普陀,1
2+1户型+产权车位+地铁13/14号+有钥匙+高区采光,苏堤春晓名苑 , 3室2厅 , 130.31平米 ,135人关注 , 共22次带看 , 6个月以前发布,1030,单价79043元/平米,https://sh.lianjia.com/ershoufang/107000029317.html,普陀,1
《采光布局》：高区采光不挡，通风性好。绿化多，,百花公寓 , 2室2厅 , 91.62平米 ,46人关注 , 共10次带看 , 9个月以前发布,810,单价88409元/平米,https://sh.lianjia.com/ershoufang/107002180647.html,黄浦,1
弘辉名苑 2室2厅 880万,弘辉名苑 , 2室2厅 , 76.12平米 ,10人关注 , 共2次带看 , 11天以前发布,880,单价115607元/平米,https://sh.lianjia.com/ershoufang/107100390821.html,黄浦,1
满*五*唯*一税费少  精装两房  业主诚意,明日星城 , 2室2厅 , 97.58平米 ,94人关注 , 共16次带看 , 3个月以前发布,860,单价88133元/平米,https://sh.lianjia.com/ershoufang/107100037629.html,黄浦,1
三林高品质商品房 华丽装修带地暖 看中可谈,尚东国际名园 , 3室2厅 , 151.84平米 ,47人关注 , 共18次带看 , 9个月以前发布,1380,单价90886元/平米,https://sh.lianjia.com/ershoufang/107000555695.html,浦东,1
六師+近才！明珠苑大2房总价低！,明珠苑(浦东) , 2室2厅 , 76.1平米 ,40人关注 , 共13次带看 , 一年前发布,600,单价78844元/平米,https://sh.lianjia.com/ershoufang/107001252927.html,浦东,1
浦发绿城5楼 一手动迁 满五唯一 精装修,浦发绿城 , 2室2厅 , 72.02平米 ,221人关注 , 共8次带看 , 9个月以前发布,365,单价50681元/平米,https://sh.lianjia.com/ershoufang/107001461355.html,浦东,1
桃林公寓，低总价电梯两房，价格可谈，随时可看房,桃林公寓 , 2室2厅 , 95.59平米 ,58人关注 , 共9次带看 , 5个月以前发布,640,单价66953元/平米,https://sh.lianjia.com/ershoufang/107001679829.html,浦东,1
贝越水岸名邸 2室2厅 540万,贝越水岸名邸 , 2室2厅 , 105.32平米 ,29人关注 , 共9次带看 , 9个月以前发布,540,单价51273元/平米,https://sh.lianjia.com/ershoufang/107001684115.html,浦东,1
新福康里，两房一南一北南北通，精装带地暖，看房随时,新福康里(公寓) , 2室2厅 , 94.29平米 ,49人关注 , 共17次带看 , 26天以前发布,860,单价91208元/平米,https://sh.lianjia.com/ershoufang/107100346041.html,静安,1
小区前排+满五唯一+视野千米不挡+看中业主回国签字！,静安枫景苑 , 2室2厅 , 105.39平米 ,103人关注 , 共12次带看 , 6个月以前发布,1280,单价121454元/平米,https://sh.lianjia.com/ershoufang/107000057759.html,静安,1
静安丽舍 2室2厅 780万,静安丽舍 , 2室2厅 , 99.88平米 ,146人关注 , 共18次带看 , 一年前发布,780,单价78094元/平米,https://sh.lianjia.com/ershoufang/107000095435.html,静安,1
满五唯一，步行恒隆广场，配套齐全，生活便利,西康公寓 , 2室1厅 , 82平米 ,212人关注 , 共5次带看 , 11个月以前发布,640,单价78049元/平米,https://sh.lianjia.com/ershoufang/107000099241.html,静安,1
静安区精装小三房，房型方正，价格合理，三口合适居住,金柏苑 , 2室2厅 , 117.49平米 ,772人关注 , 共16次带看 , 一年前发布,860,单价73198元/平米,https://sh.lianjia.com/ershoufang/107000160639.html,静安,1
都荟豪庭 品质小区 楼层好 户型很好 南北通 两房两卫,五月花都荟豪庭 , 2室2厅 , 111.35平米 ,16人关注 , 共12次带看 , 16天以前发布,960,单价86215元/平米,https://sh.lianjia.com/ershoufang/107100375147.html,闸北,1
（宝华现代城+780万南北通+满五年唯一+距地铁100米）,宝华现代城 , 2室2厅 , 97.41平米 ,203人关注 , 共21次带看 , 10个月以前发布,780,单价80074元/平米,https://sh.lianjia.com/ershoufang/107000508507.html,闸北,1
一手动迁 满五唯一税费低 40万精装修一年 拎包入住,和源名城 , 2室2厅 , 79.5平米 ,33人关注 , 共10次带看 , 1个月以前发布,450,单价56604元/平米,https://sh.lianjia.com/ershoufang/107100324053.html,闸北,1
满五唯一 叔叔年纪大了要换到子女身边方便照顾 诚意售,锦佳苑 , 2室2厅 , 75.93平米 ,8人关注 , 共7次带看 , 10天以前发布,560,单价73753元/平米,https://sh.lianjia.com/ershoufang/107100391927.html,闸北,1
05年次新大型小区，近大宁国际闸北公园，采光好随时看,嘉利明珠城 , 2室2厅 , 95平米 ,87人关注 , 共16次带看 , 11个月以前发布,705,单价74211元/平米,https://sh.lianjia.com/ershoufang/107000507669.html,闸北,1
三门路358弄 2室1厅 310万,三门路358弄 , 2室1厅 , 60.68平米 ,72人关注 , 共14次带看 , 30天以前发布,310,单价51088元/平米,https://sh.lianjia.com/ershoufang/107100333251.html,杨浦,1
精装婚房拎包住 满五唯一 南北通H户型,中房公寓 , 2室2厅 , 76.79平米 ,54人关注 , 共22次带看 , 25天以前发布,328,单价42714元/平米,https://sh.lianjia.com/ershoufang/107100349214.html,嘉定,1
金地格林城市公馆2房，带装修自住保养好，配套齐全！,金地格林世界(城市公馆) , 2室1厅 , 85.65平米 ,38人关注 , 共6次带看 , 一年前发布,380,单价44367元/平米,https://sh.lianjia.com/ershoufang/107001213793.html,嘉定,1
保利家园+南北通正两房+满五年唯一稅少+钥匙房随时看,保利家园(公寓) , 2室2厅 , 87.39平米 ,28人关注 , 共15次带看 , 一年前发布,330,单价37762元/平米,https://sh.lianjia.com/ershoufang/107001934045.html,嘉定,1
采光优秀 温馨之家 好房好心情 幸福之家,御景龙庭 , 2室2厅 , 91.52平米 ,6人关注 , 共0次带看 , 一年前发布,220,单价24039元/平米,https://sh.lianjia.com/ershoufang/107001860467.html,金山,1
绿地金山名邸（别墅） 4室3厅 400万,绿地金山名邸（别墅） , 4室3厅 , 192.05平米 ,12人关注 , 共0次带看 , 一年前发布,400,单价20828元/平米,https://sh.lianjia.com/ershoufang/107000796631.html,金山,1
红旗新村 2室1厅 110万,红旗新村 , 2室1厅 , 55.37平米 ,25人关注 , 共0次带看 , 3个月以前发布,110,单价19867元/平米,https://sh.lianjia.com/ershoufang/107100033459.html,金山,1
边套全明，内环内地铁房，3轨交接，满五唯一,长虹小区 , 2室1厅 , 52.63平米 ,88人关注 , 共8次带看 , 6个月以前发布,330,单价62702元/平米,https://sh.lianjia.com/ershoufang/107002300935.html,长宁,1
今日丽园+边套全明+东看哥伦比亚花园南看小区花园,今日丽园 , 4室2厅 , 168.23平米 ,17人关注 , 共6次带看 , 30天以前发布,1410,单价83814元/平米,https://sh.lianjia.com/ershoufang/107100332701.html,长宁,1
带产权车位，全明景观，近观苏州河，税费各付！,虹桥河滨花园 , 3室2厅 , 231.54平米 ,22人关注 , 共4次带看 , 15天以前发布,1750,单价75581元/平米,https://sh.lianjia.com/ershoufang/107100379637.html,长宁,1
纯住宅+环境优雅+ 投 资落户的首 选,海燕新村(崇明) , 2室1厅 , 46.75平米 ,89人关注 , 共0次带看 , 7个月以前发布,51,单价10910元/平米,https://sh.lianjia.com/ershoufang/107002229347.html,崇明,1
楼层好  房型好 得房率高 彩光好,裕鸿佳苑 , 1室1厅 , 61平米 ,20人关注 , 共0次带看 , 10个月以前发布,150,单价24591元/平米,https://sh.lianjia.com/ershoufang/107001812397.html,崇明,1
裕鸿佳苑 2室2厅 185万,裕鸿佳苑 , 2室2厅 , 78.73平米 ,33人关注 , 共0次带看 , 9个月以前发布,185,单价23499元/平米,https://sh.lianjia.com/ershoufang/107002150509.html,崇明,1
花苑新村(昆山) 3室2厅 173万,花苑新村(昆山) , 3室2厅 , 169.83平米 ,142人关注 , 共0次带看 , 一年前发布,173,单价10187元/平米,https://sh.lianjia.com/ershoufang/107001004647.html,上海周边,1
新小区，配套全，学 区好，交通方便,常发香城湾 , 2室2厅 , 74.7平米 ,206人关注 , 共0次带看 , 8个月以前发布,128,单价17136元/平米,https://sh.lianjia.com/ershoufang/107002188705.html,上海周边,1
月亮湾大花园 自住 2 房 看房方便 基本随时可以,月亮湾大花园 , 2室2厅 , 84.4平米 ,47人关注 , 共0次带看 , 6个月以前发布,85,单价10072元/平米,https://sh.lianjia.com/ershoufang/107002277681.html,上海周边,1
历史保护建筑+电梯老公寓+房型方正+地铁1/7号线常熟路,淮海大楼 , 2室1厅 , 93平米 ,27人关注 , 共8次带看 , 12天以前发布,960,单价103226元/平米,https://sh.lianjia.com/ershoufang/107100387839.html,徐汇,1
业主诚意出售，小区后排，正气三房，楼层佳，有车位,永新城 , 3室2厅 , 132.37平米 ,91人关注 , 共14次带看 , 一年前发布,1560,单价117852元/平米,https://sh.lianjia.com/ershoufang/107000149687.html,徐汇,1
户型好，南北通透，采光无遮挡 毛坯房,虹桥乐庭 , 3室2厅 , 147.23平米 ,179人关注 , 共9次带看 , 一年前发布,1500,单价101882元/平米,https://sh.lianjia.com/ershoufang/107000279823.html,徐汇,1
精装 双南户型 配套成熟 金楼层 拎包住 随时即看,高兴花园 , 2室1厅 , 70.28平米 ,66人关注 , 共36次带看 , 1个月以前发布,325,单价46244元/平米,https://sh.lianjia.com/ershoufang/107100323697.html,闵行,1
风度国际 2室2厅 810万,风度国际 , 2室2厅 , 114.79平米 ,82人关注 , 共30次带看 , 9个月以前发布,810,单价70564元/平米,https://sh.lianjia.com/ershoufang/107000372727.html,闵行,1
电梯房，南北通，04年新小区，税费低,白雪公主 , 2室2厅 , 95.72平米 ,42人关注 , 共27次带看 , 1个月以前发布,560,单价58504元/平米,https://sh.lianjia.com/ershoufang/107100280763.html,闵行,1
满五年唯一，少税，可谈空间大，房型方正，得房率高,名都城(公寓) , 3室2厅 , 136.81平米 ,121人关注 , 共43次带看 , 1个月以前发布,830,单价60669元/平米,https://sh.lianjia.com/ershoufang/107100287943.html,闵行,1
满5年，精装边套南北3房，诚心卖，随时看房,保利叶上海(一期) , 3室2厅 , 88.09平米 ,151人关注 , 共33次带看 , 10个月以前发布,440,单价49949元/平米,https://sh.lianjia.com/ershoufang/107002138153.html,宝山,1
交通便利，配套齐全，小区环境好,菊泉新城(菊盛路50弄) , 2室2厅 , 75.2平米 ,5人关注 , 共1次带看 , 10天以前发布,295,单价39229元/平米,https://sh.lianjia.com/ershoufang/107100393314.html,宝山,1
世纪非凡怡园 3室2厅 320万,世纪非凡怡园 , 3室2厅 , 89.77平米 ,77人关注 , 共24次带看 , 一年前发布,320,单价35647元/平米,https://sh.lianjia.com/ershoufang/107000547785.html,宝山,1
房东诚心出售 带大露台的双南两房 户型方正,新凯一期 , 2室1厅 , 77.62平米 ,312人关注 , 共26次带看 , 3个月以前发布,290,单价37362元/平米,https://sh.lianjia.com/ershoufang/107100057285.html,松江,1
价格实惠+高楼层采光无遮挡+看房方便+全新装修+急售,莱顿小城 , 2室2厅 , 85.78平米 ,70人关注 , 共17次带看 , 1个月以前发布,299,单价34857元/平米,https://sh.lianjia.com/ershoufang/107100252495.html,松江,1
江海新村 满五唯一 税费低 楼层适中 采光无遮挡,江海新村 , 2室2厅 , 80平米 ,66人关注 , 共13次带看 , 8个月以前发布,186,单价23250元/平米,https://sh.lianjia.com/ershoufang/107002212663.html,奉贤,1
奉浦总价最 低3房、中间楼层送自行车库、有钥匙,九华苑 , 3室1厅 , 88.64平米 ,24人关注 , 共11次带看 , 3个月以前发布,254,单价28656元/平米,https://sh.lianjia.com/ershoufang/107100065846.html,奉贤,1
新南家园 2室2厅 247万,新南家园 , 2室2厅 , 89.95平米 ,16人关注 , 共8次带看 , 6天以前发布,247,单价27460元/平米,https://sh.lianjia.com/ershoufang/107100404897.html,奉贤,1
阳光威尼斯四期，大面积两房两厅两卫，全南全明户型,阳光威尼斯(四期)(公寓) , 2室2厅 , 116.57平米 ,24人关注 , 共23次带看 , 一年前发布,515,单价44180元/平米,https://sh.lianjia.com/ershoufang/107002034931.html,普陀,1
品尊国际一期大两房，次新房满五唯一，高楼层看景观！,品尊国际 , 2室2厅 , 101平米 ,55人关注 , 共23次带看 , 5个月以前发布,880,单价87129元/平米,https://sh.lianjia.com/ershoufang/107002338073.html,普陀,1
景观房！苏州河梦清园景观！全南户型，带大外阳台！,中远两湾城 , 2室1厅 , 99.44平米 ,92人关注 , 共28次带看 , 3个月以前发布,710,单价71400元/平米,https://sh.lianjia.com/ershoufang/107100116042.html,普陀,1
好房热卖 免个税房 30平私家露台 1梯2户 南北全明户型,上青佳园 , 3室2厅 , 144.12平米 ,55人关注 , 共22次带看 , 1个月以前发布,995,单价69040元/平米,https://sh.lianjia.com/ershoufang/107100315061.html,普陀,1
高区景观，户型正气，满五唯一，诚意出售,海华花园 , 3室2厅 , 117.37平米 ,6人关注 , 共3次带看 , 12天以前发布,950,单价80941元/平米,https://sh.lianjia.com/ershoufang/107100387687.html,黄浦,1
黄浦上外、英德双语教学、三条轨道、满五税少、诚意售,惠祥公寓 , 2室1厅 , 73.45平米 ,98人关注 , 共9次带看 , 一年前发布,690,单价93942元/平米,https://sh.lianjia.com/ershoufang/107000193387.html,黄浦,1
满五唯一、一楼带30平方小花园、视野开阔,金橘新苑 , 2室1厅 , 84.23平米 ,74人关注 , 共13次带看 , 10个月以前发布,515,单价61143元/平米,https://sh.lianjia.com/ershoufang/107001784617.html,浦东,1
文兰小区 小户型 房东诚意出售 有钥匙 随时可以看现房,文兰小区 , 1室1厅 , 40.82平米 ,49人关注 , 共11次带看 , 一年前发布,270,单价66145元/平米,https://sh.lianjia.com/ershoufang/107001809421.html,浦东,2
户型正气地铁口正看小区绿化好诚意出售价格好谈,达安锦园 , 3室2厅 , 138.95平米 ,60人关注 , 共9次带看 , 10个月以前发布,1420,单价102196元/平米,https://sh.lianjia.com/ershoufang/107002125447.html,静安,1
嘉发大厦+钻石地段+三房朝南厅朝南+全明户型+看房方便,嘉发大厦 , 3室2厅 , 139.99平米 ,45人关注 , 共14次带看 , 8个月以前发布,1090,单价77863元/平米,https://sh.lianjia.com/ershoufang/107002208609.html,静安,1
满五唯一 精装修拎包入住 南北看花园,达安花园 , 3室2厅 , 116.9平米 ,11人关注 , 共1次带看 , 14天以前发布,1080,单价92387元/平米,https://sh.lianjia.com/ershoufang/107100380598.html,静安,1
售后公房唯一，有户口随时可迁。,万航公寓 , 3室1厅 , 93.67平米 ,6人关注 , 共1次带看 , 12天以前发布,820,单价87542元/平米,https://sh.lianjia.com/ershoufang/107100387802.html,静安,1
大宁路660弄 2室1厅 530万,大宁路660弄 , 2室1厅 , 69.5平米 ,22人关注 , 共12次带看 , 一年前发布,530,单价76259元/平米,https://sh.lianjia.com/ershoufang/107001853137.html,闸北,1
康悦亚洲 静安区 品质好 户型全明正气 满五唯一 税少,康悦亚洲花园 , 2室2厅 , 96.69平米 ,5人关注 , 共0次带看 , 8天以前发布,560,单价57918元/平米,https://sh.lianjia.com/ershoufang/107100397124.html,闸北,1
此房满五年唯一，随时可看，通 透，电梯房，总高7楼,世纪花苑 , 2室2厅 , 108.26平米 ,8人关注 , 共1次带看 , 7天以前发布,650,单价60041元/平米,https://sh.lianjia.com/ershoufang/107100401107.html,闸北,1
和源名城，婚房装修，家具家电全送，满五唯一税费全免,和源名城 , 2室1厅 , 76.76平米 ,37人关注 , 共24次带看 , 3个月以前发布,435,单价56671元/平米,https://sh.lianjia.com/ershoufang/107100119368.html,闸北,1
泰宝华庭(公寓) 4室2厅 1600万,泰宝华庭(公寓) , 4室2厅 , 180平米 ,72人关注 , 共10次带看 , 5个月以前发布,1600,单价88889元/平米,https://sh.lianjia.com/ershoufang/107000479191.html,杨浦,1
精装修，前后双阳台，低区出行方便，满五唯一，税费少,保利家园(公寓) , 2室2厅 , 83.54平米 ,143人关注 , 共12次带看 , 一年前发布,298,单价35672元/平米,https://sh.lianjia.com/ershoufang/107002021437.html,嘉定,1
降价20万.满五唯一。免7万的税。诚心出售。,新城金郡 , 2室2厅 , 89.53平米 ,235人关注 , 共10次带看 , 7个月以前发布,333,单价37195元/平米,https://sh.lianjia.com/ershoufang/107002246171.html,嘉定,1
